prey_mse,prey_mae,prey_r2,predator_mse,predator_mae,predator_r2
1.3939524016978837e-15,2.8030872341044955e-08,0.9999999999999968,1.2551060993001182e-15,2.7799606324707682e-08,0.9999999999999957
1.9833294103273823e-15,3.113269804344565e-08,0.999999999999999,1.9952818786929005e-15,3.2756328596228455e-08,0.9999999999999969
1.0404278322166434e-15,2.5858879089124543e-08,0.9999999999999934,1.298051301769085e-15,2.851963042727057e-08,0.9999999999999948
7.896898067564633e-16,2.3114681239611022e-08,0.9999999999999895,8.199424426087377e-16,2.3064613339229824e-08,0.9999999999999883
1.7923201760189202e-15,3.183126448591533e-08,0.9999999999999977,4.2844959523118405e-15,4.495859144804104e-08,0.9999999999999976
2.5114285051720085e-15,3.4438371646627886e-08,0.9999999999999983,9.998859072195396e-09,1.003794789315421e-05,0.9999999953539294
9.42804945165646e-16,2.5177001958809342e-08,0.9999999999998755,7.274229574001198e-16,2.170562743986082e-08,0.9999999999998163
9.496898210742016e-16,2.223968506520624e-08,0.9999999999999966,1.2698234274742772e-15,2.677679061702243e-08,0.9999999999999966
1.8182203113402334e-15,3.122091292440121e-08,0.9999999999999968,3.4072178332902345e-15,4.1868686673218744e-08,0.9999999999999983
2.3983068335643977e-15,3.5881996153785954e-08,0.9999999999999976,6.13486407360682e-15,5.034208300502829e-08,0.9999999999999981
8.270842495344605e-16,2.314567565331327e-08,0.99999999999999,7.688936421195393e-16,2.3007392881968515e-08,0.9999999999999907
6.582947664135642e-15,4.960775374485138e-08,0.9999999999999987,4.7883281672969584e-15,4.5433044429388227e-08,0.9999999999999982
8.109259399484747e-16,2.375125885190066e-08,0.9999999999999881,6.741174729868322e-16,2.096176147547979e-08,0.9999999999999889
9.106565813939325e-16,2.485752106262673e-08,0.9999999999999861,8.999942851729619e-08,3.0021405220027607e-05,0.9999987410444025
1.6359763313631955e-15,2.873420714644137e-08,0.9999999999999956,1.2594426847699874e-15,2.7849674236191114e-08,0.9999999999999969
7.741408586290532e-16,2.2757053383393178e-08,0.9999999999999807,9.617747312829217e-16,2.4766921999930246e-08,0.9999999999999851
1.4052193369903895e-15,2.880096435675661e-08,0.999999999999995,7.5577872833609115e-16,2.2063255302740003e-08,0.9999999999999963
7.731273401361257e-16,2.301692962669577e-08,0.999999999999972,8.455413081642228e-16,2.3531913760921342e-08,0.9999999999999519
8.365435632382637e-16,2.3281574247357995e-08,0.9999999999999845,8.63831246301596e-16,2.4032592770284466e-08,0.9999999999999843
5.472338674363943e-15,4.77027893236448e-08,0.9999999999999974,1.2278874809490217e-14,6.090402604852496e-08,0.9999999999999986
1.024084212691168e-15,2.5687217706793497e-08,0.9999999999999931,7.30158262450911e-16,2.118587493438184e-08,0.9999999999999916
1.1374777386522364e-15,2.704620361670962e-08,0.9999999999999943,8.869960765030325e-16,2.491474151544715e-08,0.9999999999999922
8.146503202748811e-16,2.30169296233651e-08,0.9999999999999649,8.647566578565702e-16,2.496719360589594e-08,0.9999999999999505
1.2220294817393519e-15,2.7582645414359064e-08,0.999999999999995,1.7921996674970606e-15,3.1292438495977847e-08,0.9999999999999972
7.0146451516772e-15,5.2314996710212113e-08,0.9999999999999983,1.531230994035143e-14,7.189035417021206e-08,0.9999999999999989
5.5648848750077456e-15,5.0408840182591955e-08,0.999999999999999,6.289980718413286e-14,1.2553453446417784e-07,0.9999999999999992
9.141548675715929e-16,2.5080442430658323e-08,0.9999999999999869,8.058347586007704e-16,2.2809505464405078e-08,0.9999999999999919
7.462494976782421e-16,2.2029876712847953e-08,0.9999999999999916,8.851861817051668e-16,2.4867057795141534e-08,0.9999999999999866
8.51410391414864e-16,2.3701190955405237e-08,0.999999999999993,7.805033423597024e-16,2.2783279424176682e-08,0.9999999999999923
1.322689512474125e-15,2.7909278856874664e-08,0.9999999999999956,1.2974896881788777e-15,2.6941299429150688e-08,0.9999999999999958
4.850801357375322e-15,4.4202804562187837e-08,0.9999999999999976,3.999828573415535e-08,2.0036406517044415e-05,0.9999999619063014
8.080098724564868e-16,2.3326873782592018e-08,0.9999999999999789,7.222280371985322e-16,2.2475719451131583e-08,0.9999999999999809
8.28084694829534e-16,2.3798942572761384e-08,0.9999999999999739,7.867436124210093e-16,2.274036407345914e-08,0.9999999999999665
1.0322131063289702e-14,5.995512009693282e-08,0.9999999999999984,6.450517276964569e-15,5.040645599863058e-08,0.9999999999999991
1.8850488458067637e-15,3.093481063642933e-08,0.9999999999999976,8.100343375610806e-07,9.004763364794111e-05,0.9999997180600878
3.0845131949273368e-15,3.6780834201666227e-08,0.9999999999999981,2.705398855148189e-15,3.681182861703381e-08,0.999999999999998
1.7545221455427712e-15,3.2010078435673605e-08,0.9999999999999946,1.1415386321264985e-15,2.6769638058476985e-08,0.9999999999999947
1.955885408508946e-15,3.333091735557847e-08,0.9999999999999974,4.900080121333497e-07,7.00282669067398e-05,0.9999985096172802
3.667023519442192e-15,3.9153099052335885e-08,0.999999999999998,9.738499218205957e-15,5.982637407531133e-08,0.9999999999999989
1.3507678893610594e-15,2.7933120728684814e-08,0.9999999999999959,1.0608800953047699e-15,2.513885497767987e-08,0.9999999999999953
9.119798962143704e-16,2.484798431678925e-08,0.9999999999999771,1.6000076379464062e-07,4.002346515655453e-05,0.9999959527623501
1.1251262309082174e-15,2.5656223286985026e-08,0.9999999999999938,7.482736917915675e-16,2.1989345549977556e-08,0.9999999999999961
1.540400375720583e-15,2.9819011686527116e-08,0.9999999999999977,2.1003700115457432e-15,3.3698081965405356e-08,0.9999999999999979
8.009965315637136e-16,2.2697448738284722e-08,0.9999999999999871,7.863854987414936e-16,2.3336410517327265e-08,0.9999999999999766
1.1340966929064143e-15,2.5725364696249642e-08,0.9999999999999959,9.572636374864393e-16,2.510547638112648e-08,0.9999999999999946
7.072594596468032e-16,2.0980834959383187e-08,0.9999999999999927,1.0229882717424732e-15,2.680301665947127e-08,0.9999999999999858
7.228959472079399e-16,2.143383025621226e-08,0.9999999999999866,8.094139044263903e-16,2.3622512809184927e-08,0.9999999999999775
7.925348203605403e-16,2.273559570720174e-08,0.9999999999999933,8.833120540778355e-16,2.4187564846567256e-08,0.9999999999999922
1.0450207808344348e-15,2.5572776793936215e-08,0.9999999999999947,7.897915570228294e-16,2.346992492907596e-08,0.9999999999999954
